folder_name,elapsed_s,timestamp
BraTS2021_00005,20.81,2026-06-04T05:51:27
BraTS2021_00012,3.19,2026-06-04T05:51:31
BraTS2021_00030,4.41,2026-06-04T05:51:35
BraTS2021_00031,3.17,2026-06-04T05:51:38
BraTS2021_00033,4.49,2026-06-04T05:51:43
BraTS2021_00043,3.39,2026-06-04T05:51:46
BraTS2021_00046,4.81,2026-06-04T05:51:51
BraTS2021_00047,2.68,2026-06-04T05:51:53
BraTS2021_00059,3.46,2026-06-04T05:51:57
BraTS2021_00061,4.2,2026-06-04T05:52:01
BraTS2021_00068,3.38,2026-06-04T05:52:05
BraTS2021_00077,3.68,2026-06-04T05:52:08
BraTS2021_00079,3.91,2026-06-04T05:52:12
BraTS2021_00084,3.55,2026-06-04T05:52:16
BraTS2021_00085,3.56,2026-06-04T05:52:19
BraTS2021_00089,3.25,2026-06-04T05:52:23
BraTS2021_00090,4.65,2026-06-04T05:52:27
BraTS2021_00096,4.11,2026-06-04T05:52:31
BraTS2021_00097,3.49,2026-06-04T05:52:35
BraTS2021_00100,3.06,2026-06-04T05:52:38
BraTS2021_00103,3.47,2026-06-04T05:52:41
BraTS2021_00119,3.34,2026-06-04T05:52:45
BraTS2021_00128,3.05,2026-06-04T05:52:48
BraTS2021_00130,4.59,2026-06-04T05:52:52
BraTS2021_00132,3.45,2026-06-04T05:52:56
BraTS2021_00134,4.94,2026-06-04T05:53:01
BraTS2021_00136,3.35,2026-06-04T05:53:04
BraTS2021_00139,3.24,2026-06-04T05:53:07
BraTS2021_00140,3.57,2026-06-04T05:53:11
BraTS2021_00143,3.0,2026-06-04T05:53:14
BraTS2021_00144,3.1,2026-06-04T05:53:17
BraTS2021_00146,4.24,2026-06-04T05:53:21
BraTS2021_00147,2.62,2026-06-04T05:53:24
BraTS2021_00148,3.7,2026-06-04T05:53:28
BraTS2021_00153,3.33,2026-06-04T05:53:31
BraTS2021_00159,3.39,2026-06-04T05:53:34
BraTS2021_00163,3.87,2026-06-04T05:53:38
BraTS2021_00185,2.74,2026-06-04T05:53:41
BraTS2021_00186,3.76,2026-06-04T05:53:45
BraTS2021_00187,3.19,2026-06-04T05:53:48
BraTS2021_00194,4.09,2026-06-04T05:53:52
BraTS2021_00195,2.71,2026-06-04T05:53:55
BraTS2021_00203,2.97,2026-06-04T05:53:58
BraTS2021_00210,2.38,2026-06-04T05:54:00
BraTS2021_00213,3.09,2026-06-04T05:54:03
BraTS2021_00217,4.23,2026-06-04T05:54:07
BraTS2021_00220,3.43,2026-06-04T05:54:11
BraTS2021_00229,4.71,2026-06-04T05:54:15
BraTS2021_00231,3.52,2026-06-04T05:54:19
BraTS2021_00236,2.49,2026-06-04T05:54:22
BraTS2021_00240,2.97,2026-06-04T05:54:24
BraTS2021_00241,3.44,2026-06-04T05:54:28
BraTS2021_00243,4.79,2026-06-04T05:54:33
BraTS2021_00253,3.6,2026-06-04T05:54:36
BraTS2021_00259,3.39,2026-06-04T05:54:40
BraTS2021_00266,3.26,2026-06-04T05:54:43
BraTS2021_00273,4.42,2026-06-04T05:54:47
BraTS2021_00274,2.74,2026-06-04T05:54:50
BraTS2021_00280,2.32,2026-06-04T05:54:52
BraTS2021_00281,3.94,2026-06-04T05:54:56
BraTS2021_00284,4.33,2026-06-04T05:55:01
BraTS2021_00294,3.38,2026-06-04T05:55:04
BraTS2021_00297,3.52,2026-06-04T05:55:08
BraTS2021_00300,2.77,2026-06-04T05:55:10
BraTS2021_00306,3.95,2026-06-04T05:55:14
BraTS2021_00313,3.7,2026-06-04T05:55:18
BraTS2021_00314,4.54,2026-06-04T05:55:23
BraTS2021_00317,3.61,2026-06-04T05:55:26
BraTS2021_00318,3.68,2026-06-04T05:55:30
BraTS2021_00327,3.85,2026-06-04T05:55:34
BraTS2021_00332,3.38,2026-06-04T05:55:37
BraTS2021_00334,4.0,2026-06-04T05:55:41
BraTS2021_00337,3.7,2026-06-04T05:55:45
BraTS2021_00339,2.6,2026-06-04T05:55:47
BraTS2021_00341,2.65,2026-06-04T05:55:50
BraTS2021_00347,3.48,2026-06-04T05:55:54
BraTS2021_00352,2.31,2026-06-04T05:55:56
BraTS2021_00366,3.4,2026-06-04T05:55:59
BraTS2021_00369,4.55,2026-06-04T05:56:04
BraTS2021_00375,5.6,2026-06-04T05:56:09
BraTS2021_00376,2.78,2026-06-04T05:56:12
BraTS2021_00378,4.9,2026-06-04T05:56:17
BraTS2021_00384,4.73,2026-06-04T05:56:22
BraTS2021_00389,3.55,2026-06-04T05:56:25
BraTS2021_00390,2.43,2026-06-04T05:56:28
BraTS2021_00399,3.01,2026-06-04T05:56:31
BraTS2021_00404,4.68,2026-06-04T05:56:36
BraTS2021_00407,3.68,2026-06-04T05:56:39
BraTS2021_00414,5.51,2026-06-04T05:56:45
BraTS2021_00418,5.64,2026-06-04T05:56:50
BraTS2021_00419,4.61,2026-06-04T05:56:55
BraTS2021_00425,5.06,2026-06-04T05:57:00
BraTS2021_00430,4.97,2026-06-04T05:57:05
BraTS2021_00432,4.32,2026-06-04T05:57:09
BraTS2021_00463,3.58,2026-06-04T05:57:13
BraTS2021_00466,4.32,2026-06-04T05:57:17
BraTS2021_00467,4.7,2026-06-04T05:57:22
BraTS2021_00470,3.66,2026-06-04T05:57:26
BraTS2021_00474,3.67,2026-06-04T05:57:29
BraTS2021_00477,2.93,2026-06-04T05:57:32
BraTS2021_00481,4.06,2026-06-04T05:57:36
BraTS2021_00489,2.98,2026-06-04T05:57:39
BraTS2021_00492,3.52,2026-06-04T05:57:43
BraTS2021_00500,4.55,2026-06-04T05:57:47
BraTS2021_00502,3.41,2026-06-04T05:57:51
BraTS2021_00504,4.26,2026-06-04T05:57:55
BraTS2021_00510,3.94,2026-06-04T05:57:59
BraTS2021_00514,3.72,2026-06-04T05:58:03
BraTS2021_00519,3.59,2026-06-04T05:58:06
BraTS2021_00521,4.41,2026-06-04T05:58:11
BraTS2021_00523,3.84,2026-06-04T05:58:15
BraTS2021_00525,4.96,2026-06-04T05:58:20
BraTS2021_00528,3.89,2026-06-04T05:58:23
BraTS2021_00529,3.37,2026-06-04T05:58:27
BraTS2021_00530,4.42,2026-06-04T05:58:31
BraTS2021_00532,3.46,2026-06-04T05:58:35
BraTS2021_00542,3.49,2026-06-04T05:58:38
BraTS2021_00543,3.7,2026-06-04T05:58:42
BraTS2021_00547,3.64,2026-06-04T05:58:46
BraTS2021_00558,3.02,2026-06-04T05:58:49
BraTS2021_00573,3.16,2026-06-04T05:58:52
BraTS2021_00578,3.04,2026-06-04T05:58:55
BraTS2021_00580,3.47,2026-06-04T05:58:58
BraTS2021_00582,3.7,2026-06-04T05:59:02
BraTS2021_00586,4.88,2026-06-04T05:59:07
BraTS2021_00588,3.46,2026-06-04T05:59:10
BraTS2021_00589,5.0,2026-06-04T05:59:15
BraTS2021_00592,4.73,2026-06-04T05:59:20
BraTS2021_00595,4.23,2026-06-04T05:59:24
BraTS2021_00604,3.68,2026-06-04T05:59:28
BraTS2021_00607,3.93,2026-06-04T05:59:32
BraTS2021_00610,3.88,2026-06-04T05:59:36
BraTS2021_00612,2.96,2026-06-04T05:59:39
BraTS2021_00621,3.59,2026-06-04T05:59:42
BraTS2021_00624,2.51,2026-06-04T05:59:45
BraTS2021_00636,2.89,2026-06-04T05:59:48
BraTS2021_00654,4.13,2026-06-04T05:59:52
BraTS2021_00656,2.89,2026-06-04T05:59:55
BraTS2021_00671,4.02,2026-06-04T05:59:59
BraTS2021_00674,3.2,2026-06-04T06:00:02
BraTS2021_00680,2.62,2026-06-04T06:00:05
BraTS2021_00682,4.01,2026-06-04T06:00:09
BraTS2021_00686,48.67,2026-06-04T06:00:57
BraTS2021_00692,3.74,2026-06-04T06:01:01
BraTS2021_00693,4.97,2026-06-04T06:01:06
BraTS2021_00697,3.22,2026-06-04T06:01:09
BraTS2021_00705,4.27,2026-06-04T06:01:14
BraTS2021_00707,3.12,2026-06-04T06:01:17
BraTS2021_00718,5.16,2026-06-04T06:01:22
BraTS2021_00721,4.72,2026-06-04T06:01:27
BraTS2021_00723,4.39,2026-06-04T06:01:31
BraTS2021_00724,6.84,2026-06-04T06:01:38
BraTS2021_00735,4.02,2026-06-04T06:01:42
BraTS2021_00736,4.84,2026-06-04T06:01:47
BraTS2021_00737,5.08,2026-06-04T06:01:52
BraTS2021_00746,6.26,2026-06-04T06:01:58
BraTS2021_00756,4.86,2026-06-04T06:02:03
BraTS2021_00757,3.42,2026-06-04T06:02:06
BraTS2021_00768,3.04,2026-06-04T06:02:09
BraTS2021_00774,2.42,2026-06-04T06:02:12
BraTS2021_00778,3.17,2026-06-04T06:02:15
BraTS2021_00833,4.15,2026-06-04T06:02:19
BraTS2021_00834,2.82,2026-06-04T06:02:22
BraTS2021_00840,5.43,2026-06-04T06:02:27
BraTS2021_00999,4.06,2026-06-04T06:02:31
BraTS2021_01027,3.27,2026-06-04T06:02:35
BraTS2021_01035,3.48,2026-06-04T06:02:38
BraTS2021_01038,3.45,2026-06-04T06:02:42
BraTS2021_01043,3.8,2026-06-04T06:02:45
BraTS2021_01045,3.47,2026-06-04T06:02:49
BraTS2021_01058,3.28,2026-06-04T06:02:52
BraTS2021_01063,4.35,2026-06-04T06:02:56
BraTS2021_01064,3.66,2026-06-04T06:03:00
BraTS2021_01072,4.9,2026-06-04T06:03:05
BraTS2021_01076,4.72,2026-06-04T06:03:10
BraTS2021_01078,4.19,2026-06-04T06:03:14
BraTS2021_01083,4.27,2026-06-04T06:03:18
BraTS2021_01084,3.13,2026-06-04T06:03:21
BraTS2021_01085,3.29,2026-06-04T06:03:25
BraTS2021_01086,3.52,2026-06-04T06:03:28
BraTS2021_01096,3.72,2026-06-04T06:03:32
BraTS2021_01104,4.35,2026-06-04T06:03:36
BraTS2021_01108,2.76,2026-06-04T06:03:39
BraTS2021_01112,3.69,2026-06-04T06:03:43
BraTS2021_01115,3.4,2026-06-04T06:03:46
BraTS2021_01124,4.17,2026-06-04T06:03:50
BraTS2021_01127,4.59,2026-06-04T06:03:55
BraTS2021_01133,5.06,2026-06-04T06:04:00
BraTS2021_01135,4.74,2026-06-04T06:04:05
BraTS2021_01136,5.44,2026-06-04T06:04:10
BraTS2021_01142,5.06,2026-06-04T06:04:15
BraTS2021_01143,2.42,2026-06-04T06:04:18
BraTS2021_01153,2.73,2026-06-04T06:04:20
BraTS2021_01160,3.51,2026-06-04T06:04:24
BraTS2021_01203,3.21,2026-06-04T06:04:27
BraTS2021_01204,4.28,2026-06-04T06:04:31
BraTS2021_01210,3.33,2026-06-04T06:04:35
BraTS2021_01225,3.31,2026-06-04T06:04:38
BraTS2021_01247,4.08,2026-06-04T06:04:42
BraTS2021_01253,3.38,2026-06-04T06:04:46
BraTS2021_01262,3.16,2026-06-04T06:04:49
BraTS2021_01265,2.32,2026-06-04T06:04:51
BraTS2021_01266,4.16,2026-06-04T06:04:55
BraTS2021_01267,3.37,2026-06-04T06:04:59
BraTS2021_01273,5.11,2026-06-04T06:05:04
BraTS2021_01276,3.69,2026-06-04T06:05:07
BraTS2021_01277,4.2,2026-06-04T06:05:12
BraTS2021_01279,3.81,2026-06-04T06:05:15
BraTS2021_01290,2.96,2026-06-04T06:05:18
BraTS2021_01295,2.32,2026-06-04T06:05:21
BraTS2021_01441,3.55,2026-06-04T06:05:24
BraTS2021_01450,3.73,2026-06-04T06:05:28
BraTS2021_01456,4.3,2026-06-04T06:05:32
BraTS2021_01458,4.82,2026-06-04T06:05:37
