folder_name,elapsed_s,timestamp
BraTS2021_00005,17.77,2026-06-04T05:55:00
BraTS2021_00012,4.58,2026-06-04T05:55:05
BraTS2021_00030,4.3,2026-06-04T05:55:09
BraTS2021_00031,5.23,2026-06-04T05:55:14
BraTS2021_00033,6.37,2026-06-04T05:55:21
BraTS2021_00043,5.57,2026-06-04T05:55:26
BraTS2021_00046,4.23,2026-06-04T05:55:30
BraTS2021_00047,3.1,2026-06-04T05:55:33
BraTS2021_00059,4.42,2026-06-04T05:55:38
BraTS2021_00061,3.3,2026-06-04T05:55:41
BraTS2021_00068,3.28,2026-06-04T05:55:44
BraTS2021_00077,3.42,2026-06-04T05:55:48
BraTS2021_00079,4.06,2026-06-04T05:55:52
BraTS2021_00084,4.69,2026-06-04T05:55:57
BraTS2021_00085,4.42,2026-06-04T05:56:01
BraTS2021_00089,4.36,2026-06-04T05:56:05
BraTS2021_00090,4.4,2026-06-04T05:56:10
BraTS2021_00096,5.55,2026-06-04T05:56:15
BraTS2021_00097,2.49,2026-06-04T05:56:18
BraTS2021_00100,3.95,2026-06-04T05:56:22
BraTS2021_00103,5.65,2026-06-04T05:56:27
BraTS2021_00119,2.98,2026-06-04T05:56:30
BraTS2021_00128,6.23,2026-06-04T05:56:37
BraTS2021_00130,3.16,2026-06-04T05:56:40
BraTS2021_00132,7.05,2026-06-04T05:56:47
BraTS2021_00134,2.85,2026-06-04T05:56:50
BraTS2021_00136,3.36,2026-06-04T05:56:53
BraTS2021_00139,5.95,2026-06-04T05:56:59
BraTS2021_00140,4.0,2026-06-04T05:57:03
BraTS2021_00143,3.17,2026-06-04T05:57:06
BraTS2021_00144,5.57,2026-06-04T05:57:12
BraTS2021_00146,4.37,2026-06-04T05:57:16
BraTS2021_00147,3.8,2026-06-04T05:57:20
BraTS2021_00148,4.47,2026-06-04T05:57:24
BraTS2021_00153,3.78,2026-06-04T05:57:28
BraTS2021_00159,3.93,2026-06-04T05:57:32
BraTS2021_00163,3.49,2026-06-04T05:57:36
BraTS2021_00185,3.22,2026-06-04T05:57:39
BraTS2021_00186,4.77,2026-06-04T05:57:44
BraTS2021_00187,5.19,2026-06-04T05:57:49
BraTS2021_00194,3.58,2026-06-04T05:57:52
BraTS2021_00195,4.76,2026-06-04T05:57:57
BraTS2021_00203,3.53,2026-06-04T05:58:01
BraTS2021_00210,4.81,2026-06-04T05:58:06
BraTS2021_00213,3.57,2026-06-04T05:58:09
BraTS2021_00217,6.53,2026-06-04T05:58:16
BraTS2021_00220,4.0,2026-06-04T05:58:20
BraTS2021_00229,4.02,2026-06-04T05:58:24
BraTS2021_00231,7.18,2026-06-04T05:58:31
BraTS2021_00236,5.53,2026-06-04T05:58:36
BraTS2021_00240,3.57,2026-06-04T05:58:40
BraTS2021_00241,6.7,2026-06-04T05:58:47
BraTS2021_00243,110.04,2026-06-04T06:00:37
BraTS2021_00253,4.12,2026-06-04T06:00:41
BraTS2021_00259,5.33,2026-06-04T06:00:46
BraTS2021_00266,3.48,2026-06-04T06:00:50
BraTS2021_00273,5.78,2026-06-04T06:00:55
BraTS2021_00274,6.26,2026-06-04T06:01:02
BraTS2021_00280,4.39,2026-06-04T06:01:06
BraTS2021_00281,4.69,2026-06-04T06:01:11
BraTS2021_00284,3.38,2026-06-04T06:01:14
BraTS2021_00294,4.98,2026-06-04T06:01:19
BraTS2021_00297,4.44,2026-06-04T06:01:24
BraTS2021_00300,3.6,2026-06-04T06:01:27
BraTS2021_00306,3.57,2026-06-04T06:01:31
BraTS2021_00313,3.9,2026-06-04T06:01:35
BraTS2021_00314,4.75,2026-06-04T06:01:39
BraTS2021_00317,4.13,2026-06-04T06:01:44
BraTS2021_00318,3.41,2026-06-04T06:01:47
BraTS2021_00327,5.39,2026-06-04T06:01:52
BraTS2021_00332,5.38,2026-06-04T06:01:58
BraTS2021_00334,5.38,2026-06-04T06:02:03
BraTS2021_00337,8.32,2026-06-04T06:02:12
BraTS2021_00339,3.82,2026-06-04T06:02:15
BraTS2021_00341,5.27,2026-06-04T06:02:21
BraTS2021_00347,6.16,2026-06-04T06:02:27
BraTS2021_00352,4.62,2026-06-04T06:02:31
BraTS2021_00366,3.46,2026-06-04T06:02:35
BraTS2021_00369,3.68,2026-06-04T06:02:39
BraTS2021_00375,3.46,2026-06-04T06:02:42
BraTS2021_00376,4.68,2026-06-04T06:02:47
BraTS2021_00378,5.0,2026-06-04T06:02:52
BraTS2021_00384,5.18,2026-06-04T06:02:57
BraTS2021_00389,3.96,2026-06-04T06:03:01
BraTS2021_00390,4.95,2026-06-04T06:03:06
BraTS2021_00399,5.92,2026-06-04T06:03:12
BraTS2021_00404,4.89,2026-06-04T06:03:17
BraTS2021_00407,5.73,2026-06-04T06:03:22
BraTS2021_00414,4.02,2026-06-04T06:03:26
BraTS2021_00418,5.46,2026-06-04T06:03:32
BraTS2021_00419,5.1,2026-06-04T06:03:37
BraTS2021_00425,3.9,2026-06-04T06:03:41
BraTS2021_00430,4.53,2026-06-04T06:03:45
BraTS2021_00432,4.97,2026-06-04T06:03:50
BraTS2021_00463,4.15,2026-06-04T06:03:55
BraTS2021_00466,3.26,2026-06-04T06:03:58
BraTS2021_00467,6.52,2026-06-04T06:04:04
BraTS2021_00470,4.17,2026-06-04T06:04:08
BraTS2021_00474,3.85,2026-06-04T06:04:12
BraTS2021_00477,4.41,2026-06-04T06:04:17
BraTS2021_00481,4.6,2026-06-04T06:04:21
BraTS2021_00489,4.35,2026-06-04T06:04:26
BraTS2021_00492,3.67,2026-06-04T06:04:29
BraTS2021_00500,3.93,2026-06-04T06:04:33
BraTS2021_00502,3.27,2026-06-04T06:04:37
BraTS2021_00504,2.96,2026-06-04T06:04:40
BraTS2021_00510,4.59,2026-06-04T06:04:44
BraTS2021_00514,4.51,2026-06-04T06:04:49
BraTS2021_00519,4.07,2026-06-04T06:04:53
BraTS2021_00521,2.79,2026-06-04T06:04:56
BraTS2021_00523,4.1,2026-06-04T06:05:00
BraTS2021_00525,4.73,2026-06-04T06:05:04
BraTS2021_00528,4.33,2026-06-04T06:05:09
BraTS2021_00529,4.39,2026-06-04T06:05:13
BraTS2021_00530,5.27,2026-06-04T06:05:18
BraTS2021_00532,5.12,2026-06-04T06:05:23
BraTS2021_00542,4.41,2026-06-04T06:05:28
BraTS2021_00543,6.01,2026-06-04T06:05:34
BraTS2021_00547,4.2,2026-06-04T06:05:38
BraTS2021_00558,5.07,2026-06-04T06:05:43
BraTS2021_00573,3.42,2026-06-04T06:05:47
BraTS2021_00578,4.08,2026-06-04T06:05:51
BraTS2021_00580,5.85,2026-06-04T06:05:57
BraTS2021_00582,4.81,2026-06-04T06:06:01
BraTS2021_00586,5.05,2026-06-04T06:06:06
BraTS2021_00588,3.77,2026-06-04T06:06:10
BraTS2021_00589,4.28,2026-06-04T06:06:14
BraTS2021_00592,3.46,2026-06-04T06:06:18
BraTS2021_00595,4.22,2026-06-04T06:06:22
BraTS2021_00604,4.4,2026-06-04T06:06:27
BraTS2021_00607,3.37,2026-06-04T06:06:30
BraTS2021_00610,4.34,2026-06-04T06:06:34
BraTS2021_00612,4.68,2026-06-04T06:06:39
BraTS2021_00621,3.77,2026-06-04T06:06:43
