folder_name,elapsed_s,timestamp
BraTS2021_00005,5.19,2026-05-23T09:23:53
BraTS2021_00012,65.1,2026-05-23T09:24:58
BraTS2021_00030,62.65,2026-05-23T09:26:01
BraTS2021_00031,30.32,2026-05-23T09:26:31
BraTS2021_00033,57.72,2026-05-23T09:27:29
BraTS2021_00043,63.88,2026-05-23T09:28:33
BraTS2021_00046,31.46,2026-05-23T09:29:04
BraTS2021_00047,44.07,2026-05-23T09:29:48
BraTS2021_00059,45.54,2026-05-23T09:30:34
BraTS2021_00061,38.44,2026-05-23T09:31:12
BraTS2021_00068,32.17,2026-05-23T09:31:44
BraTS2021_00077,64.97,2026-05-23T09:32:49
BraTS2021_00079,63.77,2026-05-23T09:33:53
BraTS2021_00084,50.39,2026-05-23T09:34:43
BraTS2021_00085,65.08,2026-05-23T09:35:48
BraTS2021_00089,50.08,2026-05-23T09:36:39
BraTS2021_00090,44.04,2026-05-23T09:37:23
BraTS2021_00096,64.98,2026-05-23T09:38:28
BraTS2021_00097,46.0,2026-05-23T09:39:14
BraTS2021_00100,20.83,2026-05-23T09:39:34
BraTS2021_00103,36.81,2026-05-23T09:40:11
BraTS2021_00119,44.67,2026-05-23T09:40:56
BraTS2021_00128,32.59,2026-05-23T09:41:28
BraTS2021_00130,23.01,2026-05-23T09:41:51
BraTS2021_00132,28.05,2026-05-23T09:42:20
BraTS2021_00134,38.68,2026-05-23T09:42:58
BraTS2021_00136,27.58,2026-05-23T09:43:26
BraTS2021_00139,34.06,2026-05-23T09:44:00
BraTS2021_00140,44.19,2026-05-23T09:44:44
BraTS2021_00143,42.37,2026-05-23T09:45:26
BraTS2021_00144,33.41,2026-05-23T09:46:00
BraTS2021_00146,55.82,2026-05-23T09:46:56
BraTS2021_00147,42.72,2026-05-23T09:47:38
BraTS2021_00148,28.95,2026-05-23T09:48:07
BraTS2021_00153,27.03,2026-05-23T09:48:34
BraTS2021_00159,36.25,2026-05-23T09:49:11
BraTS2021_00163,7.2,2026-05-23T09:49:18
BraTS2021_00185,65.05,2026-05-23T09:50:23
BraTS2021_00186,51.06,2026-05-23T09:51:14
BraTS2021_00187,49.75,2026-05-23T09:52:04
BraTS2021_00194,43.49,2026-05-23T09:52:47
BraTS2021_00195,42.4,2026-05-23T09:53:30
BraTS2021_00203,44.6,2026-05-23T09:54:14
BraTS2021_00210,33.0,2026-05-23T09:54:47
BraTS2021_00213,33.18,2026-05-23T09:55:20
BraTS2021_00217,42.07,2026-05-23T09:56:02
BraTS2021_00220,38.72,2026-05-23T09:56:41
BraTS2021_00229,43.22,2026-05-23T09:57:24
