folder_name,elapsed_s,timestamp
BraTS2021_00005,6.35,2026-06-03T16:01:55
BraTS2021_00012,6.02,2026-06-03T16:02:01
BraTS2021_00030,6.72,2026-06-03T16:51:15
BraTS2021_00031,6.01,2026-06-03T16:51:21
BraTS2021_00033,5.41,2026-06-03T16:51:27
BraTS2021_00043,4.73,2026-06-03T16:51:31
BraTS2021_00046,4.91,2026-06-03T16:51:36
BraTS2021_00047,4.96,2026-06-03T16:51:41
BraTS2021_00059,5.89,2026-06-03T16:51:47
BraTS2021_00061,4.48,2026-06-03T16:51:52
BraTS2021_00068,4.38,2026-06-03T16:51:56
BraTS2021_00077,4.61,2026-06-03T16:52:01
BraTS2021_00079,4.34,2026-06-03T16:52:05
BraTS2021_00084,4.1,2026-06-03T16:52:09
BraTS2021_00085,5.41,2026-06-03T16:52:15
BraTS2021_00089,5.22,2026-06-03T16:52:20
BraTS2021_00090,6.23,2026-06-03T16:52:26
BraTS2021_00096,4.7,2026-06-03T16:52:31
BraTS2021_00097,4.52,2026-06-03T16:52:35
BraTS2021_00100,4.59,2026-06-03T16:52:40
BraTS2021_00103,6.24,2026-06-03T16:52:46
BraTS2021_00119,8.49,2026-06-03T16:52:55
BraTS2021_00128,3.58,2026-06-03T16:52:58
BraTS2021_00130,4.86,2026-06-03T16:53:03
BraTS2021_00132,5.75,2026-06-03T16:53:09
BraTS2021_00134,6.27,2026-06-03T16:53:15
BraTS2021_00136,4.94,2026-06-03T16:53:20
BraTS2021_00139,5.41,2026-06-03T16:53:25
BraTS2021_00140,4.48,2026-06-03T16:53:30
BraTS2021_00143,5.48,2026-06-03T16:53:35
BraTS2021_00144,5.33,2026-06-03T16:53:41
BraTS2021_00146,5.2,2026-06-03T16:53:46
BraTS2021_00147,5.45,2026-06-03T16:53:51
BraTS2021_00148,4.91,2026-06-03T16:53:56
BraTS2021_00153,5.18,2026-06-03T16:54:01
BraTS2021_00159,4.63,2026-06-03T16:54:06
BraTS2021_00163,4.36,2026-06-03T16:54:10
BraTS2021_00185,4.18,2026-06-03T16:54:15
BraTS2021_00186,4.46,2026-06-03T16:54:19
BraTS2021_00187,4.1,2026-06-03T16:54:23
BraTS2021_00194,4.43,2026-06-03T16:54:28
BraTS2021_00195,5.78,2026-06-03T16:54:33
BraTS2021_00203,4.84,2026-06-03T16:54:38
BraTS2021_00210,5.13,2026-06-03T16:54:43
BraTS2021_00213,4.58,2026-06-03T16:54:48
BraTS2021_00217,5.82,2026-06-03T16:54:54
BraTS2021_00220,4.14,2026-06-03T16:54:58
BraTS2021_00229,3.99,2026-06-03T16:55:02
BraTS2021_00231,4.47,2026-06-03T16:55:06
BraTS2021_00236,4.45,2026-06-03T16:55:11
BraTS2021_00240,4.6,2026-06-03T16:55:16
BraTS2021_00241,4.81,2026-06-03T16:55:20
BraTS2021_00243,6.01,2026-06-03T16:55:26
BraTS2021_00253,3.94,2026-06-03T16:55:30
BraTS2021_00259,4.03,2026-06-03T16:55:34
BraTS2021_00266,4.37,2026-06-03T16:55:39
BraTS2021_00273,4.45,2026-06-03T16:55:43
BraTS2021_00274,3.54,2026-06-03T16:55:47
BraTS2021_00280,4.09,2026-06-03T16:55:51
BraTS2021_00281,3.62,2026-06-03T16:55:54
BraTS2021_00284,5.05,2026-06-03T16:55:59
BraTS2021_00294,5.95,2026-06-03T16:56:05
BraTS2021_00297,5.45,2026-06-03T16:56:11
BraTS2021_00300,5.37,2026-06-03T16:56:16
BraTS2021_00306,5.02,2026-06-03T16:56:21
BraTS2021_00313,4.8,2026-06-03T16:56:26
BraTS2021_00314,15.21,2026-06-03T16:56:41
BraTS2021_00317,4.78,2026-06-03T16:56:46
BraTS2021_00318,4.3,2026-06-03T16:56:50
BraTS2021_00327,6.7,2026-06-03T16:56:57
BraTS2021_00332,6.18,2026-06-03T16:57:03
BraTS2021_00334,5.03,2026-06-03T16:57:08
BraTS2021_00337,4.85,2026-06-03T16:57:13
BraTS2021_00339,4.76,2026-06-03T16:57:18
BraTS2021_00341,3.81,2026-06-03T16:57:22
BraTS2021_00347,6.59,2026-06-03T16:57:28
BraTS2021_00352,5.22,2026-06-03T16:57:34
BraTS2021_00366,4.73,2026-06-03T16:57:38
BraTS2021_00369,5.34,2026-06-03T16:57:44
BraTS2021_00375,5.91,2026-06-03T16:57:50
BraTS2021_00376,4.75,2026-06-03T16:57:54
BraTS2021_00378,4.46,2026-06-03T16:57:59
BraTS2021_00384,4.74,2026-06-03T16:58:04
BraTS2021_00389,4.03,2026-06-03T16:58:08
BraTS2021_00390,3.81,2026-06-03T16:58:11
BraTS2021_00399,4.34,2026-06-03T16:58:16
BraTS2021_00404,4.09,2026-06-03T16:58:20
BraTS2021_00407,4.5,2026-06-03T16:58:24
BraTS2021_00414,4.19,2026-06-03T16:58:29
BraTS2021_00418,4.81,2026-06-03T16:58:33
BraTS2021_00419,4.99,2026-06-03T16:58:38
BraTS2021_00425,4.47,2026-06-03T16:58:43
BraTS2021_00430,5.5,2026-06-03T16:58:48
BraTS2021_00432,5.15,2026-06-03T16:58:53
BraTS2021_00463,4.45,2026-06-03T16:58:58
BraTS2021_00466,4.77,2026-06-03T16:59:03
BraTS2021_00467,4.45,2026-06-03T16:59:07
BraTS2021_00470,4.9,2026-06-03T16:59:12
BraTS2021_00474,4.91,2026-06-03T16:59:17
BraTS2021_00477,4.34,2026-06-03T16:59:21
BraTS2021_00481,4.97,2026-06-03T16:59:26
BraTS2021_00489,4.67,2026-06-03T16:59:31
BraTS2021_00492,7.72,2026-06-03T16:59:39
BraTS2021_00500,4.71,2026-06-03T16:59:43
BraTS2021_00502,5.43,2026-06-03T16:59:49
BraTS2021_00504,5.9,2026-06-03T16:59:55
BraTS2021_00510,4.78,2026-06-03T17:00:00
BraTS2021_00514,4.56,2026-06-03T17:00:04
BraTS2021_00519,6.15,2026-06-03T17:00:10
BraTS2021_00521,5.05,2026-06-03T17:00:15
BraTS2021_00523,4.57,2026-06-03T17:00:20
BraTS2021_00525,4.59,2026-06-03T17:00:24
BraTS2021_00528,4.81,2026-06-03T17:00:29
BraTS2021_00529,4.92,2026-06-03T17:00:34
BraTS2021_00530,4.48,2026-06-03T17:00:39
BraTS2021_00532,5.13,2026-06-03T17:00:44
BraTS2021_00542,4.26,2026-06-03T17:00:48
BraTS2021_00543,4.89,2026-06-03T17:00:53
BraTS2021_00547,5.91,2026-06-03T17:00:59
BraTS2021_00558,4.8,2026-06-03T17:01:04
BraTS2021_00573,3.68,2026-06-03T17:01:07
BraTS2021_00578,4.92,2026-06-03T17:01:12
BraTS2021_00580,5.42,2026-06-03T17:01:18
BraTS2021_00582,4.81,2026-06-03T17:01:23
BraTS2021_00586,4.0,2026-06-03T17:01:27
BraTS2021_00588,4.49,2026-06-03T17:01:31
BraTS2021_00589,5.18,2026-06-03T17:01:36
BraTS2021_00592,5.18,2026-06-03T17:01:41
BraTS2021_00595,3.96,2026-06-03T17:01:45
BraTS2021_00604,5.16,2026-06-03T17:01:51
BraTS2021_00607,5.59,2026-06-03T17:01:56
BraTS2021_00610,4.44,2026-06-03T17:02:01
BraTS2021_00612,4.36,2026-06-03T17:02:05
BraTS2021_00621,4.08,2026-06-03T17:02:09
BraTS2021_00624,4.75,2026-06-03T17:02:14
BraTS2021_00636,5.69,2026-06-03T17:02:19
BraTS2021_00654,3.69,2026-06-03T17:02:23
BraTS2021_00656,4.69,2026-06-03T17:02:28
BraTS2021_00671,4.31,2026-06-03T17:02:32
BraTS2021_00674,4.3,2026-06-03T17:02:36
BraTS2021_00680,6.1,2026-06-03T17:02:43
BraTS2021_00682,4.22,2026-06-03T17:02:47
BraTS2021_00686,4.41,2026-06-03T17:02:51
BraTS2021_00692,6.21,2026-06-03T17:02:57
BraTS2021_00693,5.07,2026-06-03T17:03:03
BraTS2021_00697,2.74,2026-06-03T17:03:05
BraTS2021_00705,4.84,2026-06-03T17:03:10
BraTS2021_00707,4.67,2026-06-03T17:03:15
BraTS2021_00718,5.45,2026-06-03T17:03:20
BraTS2021_00721,5.23,2026-06-03T17:03:26
BraTS2021_00723,4.85,2026-06-03T17:03:30
BraTS2021_00724,4.51,2026-06-03T17:03:35
BraTS2021_00735,5.12,2026-06-03T17:03:40
BraTS2021_00736,4.06,2026-06-03T17:03:44
BraTS2021_00737,5.6,2026-06-03T17:03:50
BraTS2021_00746,4.94,2026-06-03T17:03:55
BraTS2021_00756,4.58,2026-06-03T17:03:59
BraTS2021_00757,4.36,2026-06-03T17:04:04
BraTS2021_00768,5.33,2026-06-03T17:04:09
BraTS2021_00774,4.84,2026-06-03T17:04:14
BraTS2021_00778,4.52,2026-06-03T17:04:18
BraTS2021_00833,4.7,2026-06-03T17:04:23
BraTS2021_00834,4.17,2026-06-03T17:04:27
BraTS2021_00840,5.8,2026-06-03T17:04:33
BraTS2021_00999,4.83,2026-06-03T17:04:38
BraTS2021_01027,5.38,2026-06-03T17:04:43
BraTS2021_01035,5.01,2026-06-03T17:04:48
BraTS2021_01038,6.17,2026-06-03T17:04:54
BraTS2021_01043,6.02,2026-06-03T17:05:00
BraTS2021_01045,4.7,2026-06-03T17:05:05
BraTS2021_01058,4.83,2026-06-03T17:05:10
BraTS2021_01063,5.2,2026-06-03T17:05:15
BraTS2021_01064,3.89,2026-06-03T17:05:19
BraTS2021_01072,4.6,2026-06-03T17:05:24
BraTS2021_01076,5.11,2026-06-03T17:05:29
BraTS2021_01078,5.73,2026-06-03T17:05:35
BraTS2021_01083,4.56,2026-06-03T17:05:39
BraTS2021_01084,4.75,2026-06-03T17:05:44
BraTS2021_01085,4.2,2026-06-03T17:05:48
BraTS2021_01086,4.09,2026-06-03T17:05:52
BraTS2021_01096,4.26,2026-06-03T17:05:56
BraTS2021_01104,2.81,2026-06-03T17:05:59
BraTS2021_01108,3.98,2026-06-03T17:06:03
BraTS2021_01112,4.79,2026-06-03T17:06:08
BraTS2021_01115,4.41,2026-06-03T17:06:12
BraTS2021_01124,4.72,2026-06-03T17:06:17
BraTS2021_01127,4.62,2026-06-03T17:06:22
BraTS2021_01133,4.66,2026-06-03T17:06:26
BraTS2021_01135,5.06,2026-06-03T17:06:32
BraTS2021_01136,4.91,2026-06-03T17:06:36
BraTS2021_01142,5.05,2026-06-03T17:06:41
BraTS2021_01143,2.19,2026-06-03T17:06:44
BraTS2021_01153,4.2,2026-06-03T17:06:48
BraTS2021_01160,5.19,2026-06-03T17:06:53
BraTS2021_01203,5.44,2026-06-03T17:06:59
BraTS2021_01204,4.38,2026-06-03T17:07:03
BraTS2021_01210,5.71,2026-06-03T17:07:09
BraTS2021_01225,5.51,2026-06-03T17:07:14
BraTS2021_01247,4.83,2026-06-03T17:07:19
BraTS2021_01253,4.61,2026-06-03T17:07:24
BraTS2021_01262,4.56,2026-06-03T17:07:28
BraTS2021_01265,3.63,2026-06-03T17:07:32
BraTS2021_01266,5.01,2026-06-03T17:07:37
BraTS2021_01267,4.05,2026-06-03T17:07:41
BraTS2021_01273,4.8,2026-06-03T17:07:46
BraTS2021_01276,4.31,2026-06-03T17:07:50
BraTS2021_01277,5.82,2026-06-03T17:07:56
BraTS2021_01279,4.12,2026-06-03T17:08:00
BraTS2021_01290,4.41,2026-06-03T17:08:04
BraTS2021_01295,1.74,2026-06-03T17:08:06
BraTS2021_01441,5.09,2026-06-03T17:08:11
BraTS2021_01450,5.58,2026-06-03T17:08:17
BraTS2021_01456,5.38,2026-06-03T17:08:22
BraTS2021_01458,5.05,2026-06-03T17:08:27
BraTS2021_01459,5.25,2026-06-03T17:08:32
BraTS2021_01476,5.8,2026-06-03T17:08:38
BraTS2021_01477,4.92,2026-06-03T17:08:43
BraTS2021_01478,6.34,2026-06-03T17:08:50
BraTS2021_01479,6.04,2026-06-03T17:08:56
BraTS2021_01483,5.32,2026-06-03T17:09:01
BraTS2021_01484,5.06,2026-06-03T17:09:06
BraTS2021_01485,4.97,2026-06-03T17:09:11
BraTS2021_01487,5.15,2026-06-03T17:09:16
BraTS2021_01489,4.87,2026-06-03T17:09:21
BraTS2021_01490,5.63,2026-06-03T17:09:27
BraTS2021_01491,4.74,2026-06-03T17:09:31
BraTS2021_01494,4.95,2026-06-03T17:09:36
BraTS2021_01495,4.31,2026-06-03T17:09:41
BraTS2021_01497,5.73,2026-06-03T17:09:46
BraTS2021_01498,4.33,2026-06-03T17:09:51
BraTS2021_01499,4.47,2026-06-03T17:09:55
BraTS2021_01500,4.54,2026-06-03T17:10:00
BraTS2021_01501,4.77,2026-06-03T17:10:04
BraTS2021_01502,4.65,2026-06-03T17:10:09
BraTS2021_01503,5.29,2026-06-03T17:10:14
BraTS2021_01504,4.38,2026-06-03T17:10:19
BraTS2021_01505,4.91,2026-06-03T17:10:24
BraTS2021_01506,6.14,2026-06-03T17:10:30
