folder_name,elapsed_s,timestamp
BraTS2021_00005,7.55,2026-06-03T18:20:13
BraTS2021_00012,5.89,2026-06-03T18:20:18
BraTS2021_00030,4.72,2026-06-03T18:20:23
BraTS2021_00031,5.27,2026-06-03T18:20:28
BraTS2021_00033,6.08,2026-06-03T18:20:35
BraTS2021_00043,7.15,2026-06-03T18:20:42
BraTS2021_00046,4.57,2026-06-03T18:20:46
BraTS2021_00047,6.15,2026-06-03T18:20:52
BraTS2021_00059,5.62,2026-06-03T18:20:58
BraTS2021_00061,4.4,2026-06-03T18:21:02
BraTS2021_00068,5.74,2026-06-03T18:21:08
BraTS2021_00077,4.39,2026-06-03T18:21:13
BraTS2021_00079,5.03,2026-06-03T18:21:18
BraTS2021_00084,5.19,2026-06-03T18:21:23
BraTS2021_00085,5.32,2026-06-03T18:21:28
BraTS2021_00089,4.29,2026-06-03T18:21:32
BraTS2021_00090,5.94,2026-06-03T18:21:38
BraTS2021_00096,5.38,2026-06-03T18:21:44
BraTS2021_00097,5.38,2026-06-03T18:21:49
BraTS2021_00100,4.81,2026-06-03T18:21:54
BraTS2021_00103,4.71,2026-06-03T18:21:59
BraTS2021_00119,5.84,2026-06-03T18:22:05
BraTS2021_00128,4.85,2026-06-03T18:22:09
BraTS2021_00130,5.46,2026-06-03T18:22:15
BraTS2021_00132,5.95,2026-06-03T18:22:21
BraTS2021_00134,5.95,2026-06-03T18:22:27
BraTS2021_00136,4.7,2026-06-03T18:22:31
BraTS2021_00139,5.53,2026-06-03T18:22:37
BraTS2021_00140,4.9,2026-06-03T18:22:42
BraTS2021_00143,4.71,2026-06-03T18:22:47
BraTS2021_00144,5.35,2026-06-03T18:22:52
BraTS2021_00146,5.94,2026-06-03T18:22:58
BraTS2021_00147,5.94,2026-06-03T18:23:04
BraTS2021_00148,4.93,2026-06-03T18:23:09
BraTS2021_00153,5.76,2026-06-03T18:23:15
BraTS2021_00159,7.32,2026-06-03T18:23:22
BraTS2021_00163,5.18,2026-06-03T18:23:27
BraTS2021_00185,5.42,2026-06-03T18:23:33
BraTS2021_00186,5.45,2026-06-03T18:23:38
BraTS2021_00187,5.27,2026-06-03T18:23:43
BraTS2021_00194,4.7,2026-06-03T18:23:48
BraTS2021_00195,6.27,2026-06-03T18:23:54
BraTS2021_00203,5.71,2026-06-03T18:24:00
BraTS2021_00210,5.9,2026-06-03T18:24:06
BraTS2021_00213,6.76,2026-06-03T18:24:13
BraTS2021_00217,6.59,2026-06-03T18:24:19
BraTS2021_00220,5.23,2026-06-03T18:24:24
BraTS2021_00229,4.86,2026-06-03T18:24:29
BraTS2021_00231,5.62,2026-06-03T18:24:35
BraTS2021_00236,5.45,2026-06-03T18:24:40
BraTS2021_00240,6.14,2026-06-03T18:24:47
BraTS2021_00241,5.99,2026-06-03T18:24:53
BraTS2021_00243,5.32,2026-06-03T18:24:58
BraTS2021_00253,6.24,2026-06-03T18:25:04
BraTS2021_00259,5.43,2026-06-03T18:25:10
BraTS2021_00266,5.0,2026-06-03T18:25:15
BraTS2021_00273,4.89,2026-06-03T18:25:19
BraTS2021_00274,5.08,2026-06-03T18:25:24
BraTS2021_00280,5.36,2026-06-03T18:25:30
BraTS2021_00281,5.05,2026-06-03T18:25:35
BraTS2021_00284,7.28,2026-06-03T18:25:42
BraTS2021_00294,5.85,2026-06-03T18:25:48
BraTS2021_00297,5.63,2026-06-03T18:25:54
BraTS2021_00300,7.44,2026-06-03T18:26:01
BraTS2021_00306,6.55,2026-06-03T18:26:08
BraTS2021_00313,6.53,2026-06-03T18:26:14
BraTS2021_00314,5.48,2026-06-03T18:26:20
BraTS2021_00317,5.54,2026-06-03T18:26:25
BraTS2021_00318,5.63,2026-06-03T18:26:31
BraTS2021_00327,5.84,2026-06-03T18:26:37
BraTS2021_00332,5.77,2026-06-03T18:26:43
BraTS2021_00334,5.23,2026-06-03T18:26:48
BraTS2021_00337,5.03,2026-06-03T18:26:53
BraTS2021_00339,5.18,2026-06-03T18:26:58
BraTS2021_00341,5.3,2026-06-03T18:27:03
BraTS2021_00347,5.98,2026-06-03T18:27:09
BraTS2021_00352,5.37,2026-06-03T18:27:15
BraTS2021_00366,6.01,2026-06-03T18:27:21
BraTS2021_00369,5.3,2026-06-03T18:27:26
BraTS2021_00375,6.9,2026-06-03T18:27:33
BraTS2021_00376,5.31,2026-06-03T18:27:38
BraTS2021_00378,6.16,2026-06-03T18:27:44
BraTS2021_00384,6.27,2026-06-03T18:27:51
BraTS2021_00389,5.12,2026-06-03T18:27:56
BraTS2021_00390,5.01,2026-06-03T18:28:01
BraTS2021_00399,5.73,2026-06-03T18:28:06
BraTS2021_00404,5.12,2026-06-03T18:28:12
BraTS2021_00407,6.88,2026-06-03T18:28:18
BraTS2021_00414,4.8,2026-06-03T18:28:23
BraTS2021_00418,5.64,2026-06-03T18:28:29
BraTS2021_00419,5.95,2026-06-03T18:28:35
BraTS2021_00425,5.95,2026-06-03T18:28:41
BraTS2021_00430,5.96,2026-06-03T18:28:47
BraTS2021_00432,7.54,2026-06-03T18:28:54
BraTS2021_00463,6.35,2026-06-03T18:29:01
BraTS2021_00466,6.19,2026-06-03T18:29:07
BraTS2021_00467,5.72,2026-06-03T18:29:13
BraTS2021_00470,4.64,2026-06-03T18:29:17
BraTS2021_00474,6.71,2026-06-03T18:29:24
BraTS2021_00477,4.91,2026-06-03T18:29:29
BraTS2021_00481,5.36,2026-06-03T18:29:34
BraTS2021_00489,6.24,2026-06-03T18:29:40
BraTS2021_00492,5.11,2026-06-03T18:29:46
BraTS2021_00500,4.75,2026-06-03T18:29:50
BraTS2021_00502,5.69,2026-06-03T18:29:56
BraTS2021_00504,6.39,2026-06-03T18:30:02
BraTS2021_00510,6.44,2026-06-03T18:30:09
BraTS2021_00514,5.35,2026-06-03T18:30:14
BraTS2021_00519,5.7,2026-06-03T18:30:20
BraTS2021_00521,4.96,2026-06-03T18:30:25
BraTS2021_00523,6.17,2026-06-03T18:30:31
BraTS2021_00525,6.0,2026-06-03T18:30:37
BraTS2021_00528,6.19,2026-06-03T18:30:43
BraTS2021_00529,5.98,2026-06-03T18:30:49
BraTS2021_00530,5.58,2026-06-03T18:30:55
BraTS2021_00532,6.32,2026-06-03T18:31:01
BraTS2021_00542,4.99,2026-06-03T18:31:06
BraTS2021_00543,5.84,2026-06-03T18:31:12
BraTS2021_00547,6.27,2026-06-03T18:31:18
BraTS2021_00558,5.5,2026-06-03T18:31:24
BraTS2021_00573,4.18,2026-06-03T18:31:28
BraTS2021_00578,4.54,2026-06-03T18:31:32
BraTS2021_00580,5.26,2026-06-03T18:31:38
BraTS2021_00582,4.53,2026-06-03T18:31:42
BraTS2021_00586,5.05,2026-06-03T18:31:47
BraTS2021_00588,7.02,2026-06-03T18:31:54
BraTS2021_00589,5.5,2026-06-03T18:32:00
BraTS2021_00592,4.74,2026-06-03T18:32:05
BraTS2021_00595,4.69,2026-06-03T18:32:09
BraTS2021_00604,6.01,2026-06-03T18:32:15
BraTS2021_00607,7.91,2026-06-03T18:32:23
BraTS2021_00610,5.29,2026-06-03T18:32:29
BraTS2021_00612,5.95,2026-06-03T18:32:34
BraTS2021_00621,5.55,2026-06-03T18:32:40
BraTS2021_00624,5.32,2026-06-03T18:32:45
BraTS2021_00636,5.45,2026-06-03T18:32:51
BraTS2021_00654,4.97,2026-06-03T18:32:56
BraTS2021_00656,6.34,2026-06-03T18:33:02
BraTS2021_00671,7.02,2026-06-03T18:33:09
BraTS2021_00674,5.99,2026-06-03T18:33:15
BraTS2021_00680,6.21,2026-06-03T18:33:21
BraTS2021_00682,606.93,2026-06-03T18:43:28
BraTS2021_00686,5.12,2026-06-03T18:43:33
BraTS2021_00692,4.58,2026-06-03T18:43:38
BraTS2021_00693,4.55,2026-06-03T18:43:43
BraTS2021_00697,4.81,2026-06-03T18:43:47
BraTS2021_00705,4.66,2026-06-03T18:43:52
BraTS2021_00707,5.46,2026-06-03T18:43:58
BraTS2021_00718,6.83,2026-06-03T18:44:04
BraTS2021_00721,5.44,2026-06-03T18:44:10
BraTS2021_00723,5.11,2026-06-03T18:44:15
BraTS2021_00724,4.0,2026-06-03T18:44:19
BraTS2021_00735,5.47,2026-06-03T18:44:24
BraTS2021_00736,5.11,2026-06-03T18:44:30
BraTS2021_00737,5.59,2026-06-03T18:44:35
BraTS2021_00746,5.72,2026-06-03T18:44:41
BraTS2021_00756,5.84,2026-06-03T18:44:47
BraTS2021_00757,4.95,2026-06-03T18:44:52
BraTS2021_00768,4.77,2026-06-03T18:44:56
BraTS2021_00774,5.42,2026-06-03T18:45:02
BraTS2021_00778,4.39,2026-06-03T18:45:06
BraTS2021_00833,6.34,2026-06-03T18:45:13
BraTS2021_00834,5.69,2026-06-03T18:45:18
BraTS2021_00840,5.15,2026-06-03T18:45:23
BraTS2021_00999,4.3,2026-06-03T18:45:28
BraTS2021_01027,5.14,2026-06-03T18:45:33
BraTS2021_01035,4.88,2026-06-03T18:45:38
BraTS2021_01038,5.53,2026-06-03T18:45:43
BraTS2021_01043,5.19,2026-06-03T18:45:48
BraTS2021_01045,5.31,2026-06-03T18:45:54
BraTS2021_01058,4.47,2026-06-03T18:45:58
BraTS2021_01063,6.46,2026-06-03T18:46:05
BraTS2021_01064,4.24,2026-06-03T18:46:09
BraTS2021_01072,4.51,2026-06-03T18:46:14
BraTS2021_01076,4.78,2026-06-03T18:46:18
BraTS2021_01078,5.18,2026-06-03T18:46:23
BraTS2021_01083,4.56,2026-06-03T18:46:28
BraTS2021_01084,5.84,2026-06-03T18:46:34
BraTS2021_01085,4.95,2026-06-03T18:46:39
BraTS2021_01086,5.06,2026-06-03T18:46:44
BraTS2021_01096,5.39,2026-06-03T18:46:49
BraTS2021_01104,4.98,2026-06-03T18:46:54
BraTS2021_01108,5.75,2026-06-03T18:47:00
BraTS2021_01112,5.17,2026-06-03T18:47:05
BraTS2021_01115,4.29,2026-06-03T18:47:10
BraTS2021_01124,6.16,2026-06-03T18:47:16
BraTS2021_01127,4.34,2026-06-03T18:47:20
BraTS2021_01133,5.11,2026-06-03T18:47:25
BraTS2021_01135,5.03,2026-06-03T18:47:30
BraTS2021_01136,5.43,2026-06-03T18:47:36
BraTS2021_01142,4.09,2026-06-03T18:47:40
BraTS2021_01143,4.69,2026-06-03T18:47:44
BraTS2021_01153,4.73,2026-06-03T18:47:49
BraTS2021_01160,5.03,2026-06-03T18:47:54
BraTS2021_01203,6.66,2026-06-03T18:48:01
BraTS2021_01204,5.12,2026-06-03T18:48:06
BraTS2021_01210,4.56,2026-06-03T18:48:11
BraTS2021_01225,5.51,2026-06-03T18:48:16
BraTS2021_01247,5.24,2026-06-03T18:48:21
BraTS2021_01253,5.08,2026-06-03T18:48:26
BraTS2021_01262,5.39,2026-06-03T18:48:32
BraTS2021_01265,6.41,2026-06-03T18:48:38
BraTS2021_01266,5.93,2026-06-03T18:48:44
BraTS2021_01267,4.46,2026-06-03T18:48:49
BraTS2021_01273,4.84,2026-06-03T18:48:53
BraTS2021_01276,4.68,2026-06-03T18:48:58
BraTS2021_01277,5.4,2026-06-03T18:49:04
BraTS2021_01279,5.11,2026-06-03T18:49:09
BraTS2021_01290,4.77,2026-06-03T18:49:13
BraTS2021_01295,4.24,2026-06-03T18:49:18
BraTS2021_01441,5.08,2026-06-03T18:49:23
BraTS2021_01450,6.37,2026-06-03T18:49:29
BraTS2021_01456,4.97,2026-06-03T18:49:34
BraTS2021_01458,5.52,2026-06-03T18:49:40
BraTS2021_01459,5.72,2026-06-03T18:49:45
BraTS2021_01476,4.88,2026-06-03T18:49:50
BraTS2021_01477,4.74,2026-06-03T18:49:55
BraTS2021_01478,5.68,2026-06-03T18:50:01
BraTS2021_01479,5.35,2026-06-03T18:50:06
BraTS2021_01483,4.91,2026-06-03T18:50:11
BraTS2021_01484,5.44,2026-06-03T18:50:16
BraTS2021_01485,4.87,2026-06-03T18:50:21
BraTS2021_01487,5.15,2026-06-03T18:50:26
BraTS2021_01489,4.47,2026-06-03T18:50:31
BraTS2021_01490,4.15,2026-06-03T18:50:35
BraTS2021_01491,4.75,2026-06-03T18:50:40
BraTS2021_01494,5.34,2026-06-03T18:50:45
BraTS2021_01495,4.82,2026-06-03T18:50:50
BraTS2021_01497,4.69,2026-06-03T18:50:55
BraTS2021_01498,4.7,2026-06-03T18:50:59
BraTS2021_01499,4.62,2026-06-03T18:51:04
BraTS2021_01500,4.22,2026-06-03T18:51:08
BraTS2021_01501,5.88,2026-06-03T18:51:14
BraTS2021_01502,6.57,2026-06-03T18:51:21
BraTS2021_01503,6.05,2026-06-03T18:51:27
BraTS2021_01504,6.2,2026-06-03T18:51:33
BraTS2021_01505,4.9,2026-06-03T18:51:38
BraTS2021_01506,6.88,2026-06-03T18:51:45
