folder_name,elapsed_s,timestamp
BraTS2021_00005,135.83,2026-06-05T16:16:25
BraTS2021_00012,151.76,2026-06-05T16:18:57
BraTS2021_00030,111.85,2026-06-05T16:20:49
BraTS2021_00031,137.02,2026-06-05T16:23:06
BraTS2021_00033,80.98,2026-06-05T16:24:27
BraTS2021_00043,144.46,2026-06-05T16:26:52
BraTS2021_00046,126.31,2026-06-05T16:28:58
BraTS2021_00047,110.86,2026-06-05T16:30:49
BraTS2021_00059,159.6,2026-06-05T16:33:28
BraTS2021_00061,106.96,2026-06-05T16:35:15
BraTS2021_00068,145.39,2026-06-05T16:37:41
BraTS2021_00077,131.31,2026-06-05T16:39:52
BraTS2021_00079,147.47,2026-06-05T16:42:19
BraTS2021_00084,100.86,2026-06-05T16:44:00
BraTS2021_00085,135.07,2026-06-05T16:46:15
BraTS2021_00089,106.3,2026-06-05T16:48:02
BraTS2021_00090,145.36,2026-06-05T16:50:27
BraTS2021_00096,138.86,2026-06-05T16:52:46
BraTS2021_00097,432.85,2026-06-05T16:59:59
BraTS2021_00100,118.61,2026-06-05T17:01:57
BraTS2021_00103,130.51,2026-06-05T17:04:08
BraTS2021_00119,102.68,2026-06-05T17:05:51
BraTS2021_00128,107.85,2026-06-05T17:07:39
BraTS2021_00130,162.42,2026-06-05T17:10:21
BraTS2021_00132,134.65,2026-06-05T17:12:36
BraTS2021_00134,144.62,2026-06-05T17:15:00
BraTS2021_00136,119.38,2026-06-05T17:17:00
BraTS2021_00139,140.13,2026-06-05T17:19:20
BraTS2021_00140,154.93,2026-06-05T17:21:55
BraTS2021_00143,129.92,2026-06-05T17:24:05
BraTS2021_00144,140.26,2026-06-05T17:26:25
BraTS2021_00146,139.88,2026-06-05T17:28:45
BraTS2021_00147,386.33,2026-06-05T17:35:11
BraTS2021_00148,153.93,2026-06-05T17:37:45
BraTS2021_00153,147.65,2026-06-05T17:40:13
BraTS2021_00159,105.52,2026-06-05T17:41:58
BraTS2021_00163,453.95,2026-06-05T17:49:32
BraTS2021_00185,116.8,2026-06-05T17:51:29
BraTS2021_00186,150.62,2026-06-05T17:54:00
BraTS2021_00187,77.04,2026-06-05T17:55:17
BraTS2021_00194,147.05,2026-06-05T17:57:44
BraTS2021_00195,145.64,2026-06-05T18:00:09
BraTS2021_00203,139.06,2026-06-05T18:02:28
