folder_name,elapsed_s,timestamp
BraTS2021_00005,149.19,2026-06-06T09:47:31
BraTS2021_00012,148.09,2026-06-06T09:49:59
BraTS2021_00030,135.98,2026-06-06T09:52:15
BraTS2021_00031,161.79,2026-06-06T09:54:57
BraTS2021_00033,89.77,2026-06-06T09:56:27
BraTS2021_00043,115.76,2026-06-06T09:58:22
BraTS2021_00046,157.38,2026-06-06T10:01:00
BraTS2021_00047,154.01,2026-06-06T10:03:34
BraTS2021_00059,111.24,2026-06-06T10:05:25
BraTS2021_00061,145.96,2026-06-06T10:07:51
BraTS2021_00068,141.11,2026-06-06T10:10:12
BraTS2021_00077,329.58,2026-06-06T10:15:42
BraTS2021_00079,108.12,2026-06-06T10:17:30
BraTS2021_00084,337.24,2026-06-06T10:23:07
BraTS2021_00085,149.33,2026-06-06T10:25:36
BraTS2021_00089,167.97,2026-06-06T10:28:24
BraTS2021_00090,108.67,2026-06-06T10:30:13
BraTS2021_00096,151.98,2026-06-06T10:32:45
BraTS2021_00097,138.39,2026-06-06T10:35:03
BraTS2021_00100,163.28,2026-06-06T10:37:47
BraTS2021_00103,109.59,2026-06-06T10:39:36
BraTS2021_00119,140.17,2026-06-06T10:41:56
BraTS2021_00128,153.49,2026-06-06T10:44:30
BraTS2021_00130,162.35,2026-06-06T10:47:12
BraTS2021_00132,256.72,2026-06-06T10:51:29
BraTS2021_00134,126.09,2026-06-06T10:53:35
BraTS2021_00136,162.51,2026-06-06T10:56:18
BraTS2021_00139,154.25,2026-06-06T10:58:52
BraTS2021_00140,475.55,2026-06-06T11:06:47
BraTS2021_00143,152.4,2026-06-06T11:09:20
BraTS2021_00144,167.61,2026-06-06T11:12:07
BraTS2021_00146,467.66,2026-06-06T11:19:55
BraTS2021_00147,151.83,2026-06-06T11:22:27
BraTS2021_00148,452.36,2026-06-06T11:29:59
BraTS2021_00153,34.32,2026-06-06T11:30:34
BraTS2021_00159,82.21,2026-06-06T11:31:56
BraTS2021_00163,157.6,2026-06-06T11:34:33
BraTS2021_00185,40.55,2026-06-06T11:35:14
BraTS2021_00186,141.7,2026-06-06T11:37:36
BraTS2021_00187,93.65,2026-06-06T11:39:09
BraTS2021_00194,144.19,2026-06-06T11:41:33
BraTS2021_00195,145.12,2026-06-06T11:43:59
BraTS2021_00203,145.37,2026-06-06T11:46:24
BraTS2021_00210,142.38,2026-06-06T11:48:46
BraTS2021_00213,137.26,2026-06-06T11:51:04
BraTS2021_00217,118.3,2026-06-06T11:53:02
BraTS2021_00220,157.22,2026-06-06T11:55:39
BraTS2021_00229,142.53,2026-06-06T11:58:02
BraTS2021_00231,140.4,2026-06-06T12:00:22
BraTS2021_00236,448.45,2026-06-06T12:07:50
BraTS2021_00240,158.4,2026-06-06T12:10:29
BraTS2021_00241,165.37,2026-06-06T12:13:14
BraTS2021_00243,148.71,2026-06-06T12:15:43
BraTS2021_00253,158.04,2026-06-06T12:18:21
BraTS2021_00259,144.13,2026-06-06T12:20:45
BraTS2021_00266,149.91,2026-06-06T12:23:15
BraTS2021_00273,165.12,2026-06-06T12:26:00
BraTS2021_00274,125.72,2026-06-06T12:28:06
BraTS2021_00280,148.69,2026-06-06T12:30:35
BraTS2021_00281,126.52,2026-06-06T12:32:41
BraTS2021_00284,46.26,2026-06-06T12:33:27
