folder_name,elapsed_s,timestamp
BraTS2021_00005,23.52,2026-06-05T09:12:20
BraTS2021_00012,20.85,2026-06-05T09:12:40
BraTS2021_00030,20.69,2026-06-05T09:13:01
BraTS2021_00031,16.34,2026-06-05T09:13:17
BraTS2021_00033,19.11,2026-06-05T09:13:37
BraTS2021_00043,19.85,2026-06-05T09:13:56
BraTS2021_00046,24.18,2026-06-05T09:14:21
BraTS2021_00047,25.21,2026-06-05T09:14:46
BraTS2021_00059,35.9,2026-06-05T09:15:22
BraTS2021_00061,36.45,2026-06-05T09:15:58
BraTS2021_00068,13.21,2026-06-05T09:16:11
BraTS2021_00077,13.23,2026-06-05T09:16:25
BraTS2021_00079,16.53,2026-06-05T09:16:41
BraTS2021_00084,26.76,2026-06-05T09:17:08
BraTS2021_00085,10.44,2026-06-05T09:17:18
BraTS2021_00089,19.14,2026-06-05T09:17:38
BraTS2021_00090,21.61,2026-06-05T09:17:59
BraTS2021_00096,13.21,2026-06-05T09:18:12
BraTS2021_00097,29.68,2026-06-05T09:18:42
BraTS2021_00100,13.32,2026-06-05T09:18:55
BraTS2021_00103,19.35,2026-06-05T09:19:15
BraTS2021_00119,31.58,2026-06-05T09:19:46
BraTS2021_00128,13.26,2026-06-05T09:20:00
BraTS2021_00130,13.92,2026-06-05T09:20:13
BraTS2021_00132,19.66,2026-06-05T09:20:33
BraTS2021_00134,22.01,2026-06-05T09:20:55
BraTS2021_00136,22.73,2026-06-05T09:21:18
BraTS2021_00139,10.34,2026-06-05T09:21:28
BraTS2021_00140,10.29,2026-06-05T09:21:39
BraTS2021_00143,20.52,2026-06-05T09:21:59
BraTS2021_00144,21.56,2026-06-05T09:22:21
BraTS2021_00146,20.2,2026-06-05T09:22:41
BraTS2021_00147,26.46,2026-06-05T09:23:07
BraTS2021_00148,23.93,2026-06-05T09:23:31
BraTS2021_00153,28.04,2026-06-05T09:23:59
BraTS2021_00159,12.75,2026-06-05T09:24:12
BraTS2021_00163,10.51,2026-06-05T09:24:23
BraTS2021_00185,13.22,2026-06-05T09:24:36
BraTS2021_00186,17.38,2026-06-05T09:24:53
BraTS2021_00187,19.14,2026-06-05T09:25:12
BraTS2021_00194,13.85,2026-06-05T09:25:26
BraTS2021_00195,13.26,2026-06-05T09:25:39
BraTS2021_00203,13.78,2026-06-05T09:25:53
BraTS2021_00210,19.54,2026-06-05T09:26:13
BraTS2021_00213,22.49,2026-06-05T09:26:35
BraTS2021_00217,10.52,2026-06-05T09:26:46
BraTS2021_00220,32.03,2026-06-05T09:27:18
BraTS2021_00229,14.17,2026-06-05T09:27:32
BraTS2021_00231,19.57,2026-06-05T09:27:52
BraTS2021_00236,18.47,2026-06-05T09:28:10
BraTS2021_00240,18.57,2026-06-05T09:28:29
BraTS2021_00241,14.73,2026-06-05T09:28:43
BraTS2021_00243,18.24,2026-06-05T09:29:02
BraTS2021_00253,27.76,2026-06-05T09:29:29
BraTS2021_00259,33.56,2026-06-05T09:30:03
BraTS2021_00266,10.4,2026-06-05T09:30:13
BraTS2021_00273,17.67,2026-06-05T09:30:31
BraTS2021_00274,12.32,2026-06-05T09:30:43
BraTS2021_00280,35.56,2026-06-05T09:31:19
BraTS2021_00281,13.73,2026-06-05T09:31:33
BraTS2021_00284,32.51,2026-06-05T09:32:05
BraTS2021_00294,26.76,2026-06-05T09:32:32
