folder_name,elapsed_s,timestamp
BraTS2021_00005,11.55,2026-06-05T09:24:04
BraTS2021_00012,20.07,2026-06-05T09:24:25
BraTS2021_00030,15.92,2026-06-05T09:24:40
BraTS2021_00031,10.57,2026-06-05T09:24:51
BraTS2021_00033,10.51,2026-06-05T09:25:02
BraTS2021_00043,10.52,2026-06-05T09:25:12
BraTS2021_00046,16.88,2026-06-05T09:25:29
BraTS2021_00047,10.53,2026-06-05T09:25:40
BraTS2021_00059,10.78,2026-06-05T09:25:50
BraTS2021_00061,10.64,2026-06-05T09:26:01
BraTS2021_00068,20.51,2026-06-05T09:26:21
BraTS2021_00077,13.48,2026-06-05T09:26:35
BraTS2021_00079,10.73,2026-06-05T09:26:46
BraTS2021_00084,10.72,2026-06-05T09:26:56
BraTS2021_00085,10.59,2026-06-05T09:27:07
BraTS2021_00089,14.25,2026-06-05T09:27:21
BraTS2021_00090,15.55,2026-06-05T09:27:37
BraTS2021_00096,10.55,2026-06-05T09:27:47
BraTS2021_00097,10.54,2026-06-05T09:27:58
BraTS2021_00100,10.59,2026-06-05T09:28:08
BraTS2021_00103,13.46,2026-06-05T09:28:22
BraTS2021_00119,15.93,2026-06-05T09:28:38
BraTS2021_00128,13.29,2026-06-05T09:28:51
BraTS2021_00130,24.03,2026-06-05T09:29:15
BraTS2021_00132,13.5,2026-06-05T09:29:29
BraTS2021_00134,16.29,2026-06-05T09:29:45
BraTS2021_00136,23.48,2026-06-05T09:30:09
BraTS2021_00139,16.08,2026-06-05T09:30:25
BraTS2021_00140,10.48,2026-06-05T09:30:35
BraTS2021_00143,13.43,2026-06-05T09:30:49
BraTS2021_00144,10.55,2026-06-05T09:30:59
BraTS2021_00146,23.28,2026-06-05T09:31:22
BraTS2021_00147,10.53,2026-06-05T09:31:33
BraTS2021_00148,73.55,2026-06-05T09:32:46
BraTS2021_00153,10.5,2026-06-05T09:32:57
BraTS2021_00159,12.18,2026-06-05T09:33:09
BraTS2021_00163,10.66,2026-06-05T09:33:20
BraTS2021_00185,15.43,2026-06-05T09:33:35
BraTS2021_00186,10.62,2026-06-05T09:33:46
BraTS2021_00187,16.29,2026-06-05T09:34:02
BraTS2021_00194,10.58,2026-06-05T09:34:13
BraTS2021_00195,10.55,2026-06-05T09:34:23
BraTS2021_00203,19.79,2026-06-05T09:34:43
BraTS2021_00210,13.65,2026-06-05T09:34:57
BraTS2021_00213,16.42,2026-06-05T09:35:13
BraTS2021_00217,17.03,2026-06-05T09:35:30
BraTS2021_00220,15.45,2026-06-05T09:35:46
BraTS2021_00229,10.52,2026-06-05T09:35:56
BraTS2021_00231,18.97,2026-06-05T09:36:15
BraTS2021_00236,10.55,2026-06-05T09:36:26
BraTS2021_00240,13.83,2026-06-05T09:36:40
BraTS2021_00241,10.56,2026-06-05T09:36:50
BraTS2021_00243,16.37,2026-06-05T09:37:06
BraTS2021_00253,10.56,2026-06-05T09:37:17
BraTS2021_00259,10.6,2026-06-05T09:37:28
BraTS2021_00266,15.56,2026-06-05T09:37:43
BraTS2021_00273,15.53,2026-06-05T09:37:59
BraTS2021_00274,15.32,2026-06-05T09:38:14
BraTS2021_00280,22.53,2026-06-05T09:38:37
BraTS2021_00281,16.84,2026-06-05T09:38:53
BraTS2021_00284,10.49,2026-06-05T09:39:04
BraTS2021_00294,16.78,2026-06-05T09:39:21
BraTS2021_00297,35.28,2026-06-05T09:39:56
BraTS2021_00300,17.95,2026-06-05T09:40:14
BraTS2021_00306,13.57,2026-06-05T09:40:28
BraTS2021_00313,18.98,2026-06-05T09:40:46
BraTS2021_00314,17.23,2026-06-05T09:41:04
BraTS2021_00317,21.86,2026-06-05T09:41:26
BraTS2021_00318,18.73,2026-06-05T09:41:44
BraTS2021_00327,12.48,2026-06-05T09:41:57
BraTS2021_00332,16.36,2026-06-05T09:42:13
BraTS2021_00334,10.52,2026-06-05T09:42:24
BraTS2021_00337,10.57,2026-06-05T09:42:34
BraTS2021_00339,10.53,2026-06-05T09:42:45
BraTS2021_00341,22.0,2026-06-05T09:43:07
BraTS2021_00347,10.77,2026-06-05T09:43:18
BraTS2021_00352,12.71,2026-06-05T09:43:30
BraTS2021_00366,16.07,2026-06-05T09:43:46
BraTS2021_00369,10.58,2026-06-05T09:43:57
BraTS2021_00375,10.53,2026-06-05T09:44:07
BraTS2021_00376,16.56,2026-06-05T09:44:24
BraTS2021_00378,15.81,2026-06-05T09:44:40
BraTS2021_00384,13.24,2026-06-05T09:44:53
BraTS2021_00389,10.57,2026-06-05T09:45:04
BraTS2021_00390,22.05,2026-06-05T09:45:26
BraTS2021_00399,15.46,2026-06-05T09:45:41
BraTS2021_00404,10.56,2026-06-05T09:45:52
BraTS2021_00407,17.22,2026-06-05T09:46:09
BraTS2021_00414,10.56,2026-06-05T09:46:20
BraTS2021_00418,10.59,2026-06-05T09:46:30
BraTS2021_00419,10.73,2026-06-05T09:46:41
BraTS2021_00425,10.58,2026-06-05T09:46:51
BraTS2021_00430,10.51,2026-06-05T09:47:02
BraTS2021_00432,11.3,2026-06-05T09:47:13
BraTS2021_00463,30.93,2026-06-05T09:47:44
BraTS2021_00466,13.09,2026-06-05T09:47:57
BraTS2021_00467,16.32,2026-06-05T09:48:14
BraTS2021_00470,10.5,2026-06-05T09:48:24
BraTS2021_00474,11.12,2026-06-05T09:48:35
BraTS2021_00477,13.46,2026-06-05T09:48:49
BraTS2021_00481,15.6,2026-06-05T09:49:04
BraTS2021_00489,10.52,2026-06-05T09:49:15
BraTS2021_00492,15.67,2026-06-05T09:49:31
BraTS2021_00500,16.08,2026-06-05T09:49:47
BraTS2021_00502,10.6,2026-06-05T09:49:57
BraTS2021_00504,11.32,2026-06-05T09:50:09
BraTS2021_00510,16.28,2026-06-05T09:50:25
BraTS2021_00514,20.17,2026-06-05T09:50:45
BraTS2021_00519,30.09,2026-06-05T09:51:15
BraTS2021_00521,10.98,2026-06-05T09:51:26
BraTS2021_00523,15.04,2026-06-05T09:51:41
BraTS2021_00525,16.24,2026-06-05T09:51:57
BraTS2021_00528,10.66,2026-06-05T09:52:08
